SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,COMMUTE_NUM_STEPS,COMMUTE,COMMUTE_STEPS,WALKING_TIME,GROCERY_driving,GROCERY_walking,GROCERY_walking_num,ALDI_walking,JEWEL_walking,MARIANO_walking,TRADERJOE_walking,WHOLEFOODS_walking,ALDI_driving,JEWEL_driving,MARIANO_driving,TRADERJOE_driving,WHOLEFOODS_driving,ZILLOW_ID,ZILLOW_URL,LAST_TAX_YEAR,LAST_TAX_ASSESSMENT,ESTIMATED_TAX,LAST_SOLD_DATE,LAST_SOLD_PRICE,ZESTIMATE,ZESTIMATE_LAST_UPDATED,ZESTIMATE_VALUE_CHANGE,ZESTIMATE_RANGE_HIGH,ZESTIMATE_RANGE_LOW
MLS Listing,Townhouse,5320 N Kenmore Ave Unit D,Chicago,IL,60640,398000,2.0,2.0,Edgewater,1600.0,1200.0,1994.0,99,249.0,313.0,Active,http://www.redfin.com/IL/Chicago/5320-N-Kenmore-Ave-60640/unit-D/home/13399345,MRED,10532128,41.9789715,-87.6571219,3.0,16 mins,"WALKING(3 MINS), BUS147(12 mins), WALKING(1 MIN)",4.0,"ALDI, JEWEL, MARIANO, WHOLEFOODS","JEWEL, MARIANO",2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3700890.0,http://www.zillow.com/homedetails/5320-N-Kenmore-Ave-UNIT-D-Chicago-IL-60640/3700890_zpid/,2017.0,29248.0,8425.66,02/05/2002,287500.0,364555.0,01/26/2020,-23799.0,382783.0,346327.0
PAST SALE,Townhouse,4208 W Thorndale Ave,Chicago,IL,60646,450000,3.0,2.5,Forest Glen,2991.0,2047.0,1991.0,32,150.0,425.0,Sold,http://www.redfin.com/IL/Chicago/4208-W-Thorndale-Ave-60646/home/13512920,MRED,10547176,41.989095,-87.734133,5.0,44 mins,"WALKING(2 MINS), BUS84(21 mins), WALKING(1 MIN), BUS147(14 mins), WALKING(1 MIN)",4.0,"ALDI, JEWEL, MARIANO, WHOLEFOODS",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3623752.0,http://www.zillow.com/homedetails/4208-W-Thorndale-Ave-Chicago-IL-60646/3623752_zpid/,2017.0,37258.0,9526.5,12/13/2019,450000.0,448255.0,01/26/2020,1365.0,484115.0,416877.0
MLS Listing,Townhouse,2924 N PAULINA St,Chicago,IL,60657,619900,3.0,2.5,Lake View,2058.0,1330.0,2000.0,104,301.0,288.0,Active,http://www.redfin.com/IL/Chicago/2924-N-Paulina-St-60657/home/12726539,MRED,10526519,41.9349551,-87.6710614,5.0,41 mins,"WALKING(4 MINS), BUS9(13 mins), WALKING(1 MIN), BUS66(16 mins), WALKING(2 MINS)",7.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","ALDI, JEWEL, WHOLEFOODS",3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,61960198.0,http://www.zillow.com/homedetails/2924-N-Paulina-St-Chicago-IL-60657/61960198_zpid/,2017.0,57448.0,13123.283,09/01/2009,535000.0,597786.0,01/26/2020,-4591.0,627675.0,567897.0
PAST SALE,Townhouse,660 N Peoria St Unit 2S,CHICAGO,IL,60642,435000,2.0,2.5,West Town,1846.0,,1992.0,2006,236.0,175.0,Sold,http://www.redfin.com/IL/Chicago/660-N-Peoria-St-60642/unit-2S/home/12573799,MRED,8623494,41.893946,-87.6505619,3.0,17 mins,"WALKING(4 MINS), BUS66(11 mins), WALKING(2 MINS)",6.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",JEWEL,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
MLS Listing,Townhouse,3910 N FREMONT St Unit G,Chicago,IL,60613,460000,3.0,2.0,Lake View,1623.0,800.0,1993.0,86,283.0,150.0,Contingent,http://www.redfin.com/IL/Chicago/3910-N-Fremont-St-60613/unit-G/home/13383828,MRED,10545237,41.953006,-87.652704,3.0,23 mins,"WALKING(4 MINS), RED LINE(15 mins), WALKING(4 MINS)",8.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",WHOLEFOODS,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2082402559.0,http://www.zillow.com/homedetails/3910-N-Fremont-St-APT-G-Chicago-IL-60613/2082402559_zpid/,2017.0,40122.0,9738.2,01/17/2020,450000.0,449767.0,01/26/2020,1374.0,481251.0,418283.0
PAST SALE,Townhouse,931 W WRIGHTWOOD Ave Unit C,CHICAGO,IL,60614,350000,3.0,2.5,Lincoln Park,,,1988.0,3406,,305.0,Sold,http://www.redfin.com/IL/Chicago/931-W-Wrightwood-Ave-60614/unit-C/home/13359431,MRED,7558014,41.9288254,-87.6526926,3.0,18 mins,"WALKING(7 MINS), RED LINE(7 mins), WALKING(4 MINS)",11.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","TRADERJOE, WHOLEFOODS",2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3730428.0,http://www.zillow.com/homedetails/931-W-Wrightwood-Ave-Chicago-IL-60614/3730428_zpid/,2017.0,31918.0,7409.500000000001,04/09/2019,420000.0,419767.0,01/26/2020,4828.0,457546.0,386186.0
MLS Listing,Condo/Co-op,2805 N Wolcott Ave Unit D,Chicago,IL,60657,439000,2.0,2.0,North Center,1700.0,,1995.0,87,258.0,498.0,Active,http://www.redfin.com/IL/Chicago/2805-N-Wolcott-Ave-60657/unit-D/home/13358918,MRED,10543681,41.9343842,-87.6742284,5.0,41 mins,"WALKING(6 MINS), BUS76(11 mins), WALKING(1 MIN), BUS151(14 mins), WALKING(1 MIN)",8.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","ALDI, JEWEL, WHOLEFOODS",3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3731672.0,http://www.zillow.com/homedetails/2805-N-Wolcott-Ave-UNIT-D-Chicago-IL-60657/3731672_zpid/,2017.0,35804.0,9293.63,09/13/2005,387000.0,426307.0,01/26/2020,-5600.0,447622.0,404992.0
MLS Listing,Townhouse,1705 W LEMOYNE St Unit H,Chicago,IL,60622,559900,3.0,2.5,West Town,,900.0,1995.0,53,,60.0,Contingent,http://www.redfin.com/IL/Chicago/1705-W-Le-Moyne-St-60622/unit-H/home/12768001,MRED,10572807,41.9088855,-87.6703588,5.0,23 mins,"WALKING(3 MINS), BUS72(7 mins), WALKING(1 MIN), RED LINE(5 mins), WALKING(4 MINS)",8.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",JEWEL,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,58365420.0,http://www.zillow.com/homedetails/1705-W-Le-Moyne-St-APT-H-Chicago-IL-60622/58365420_zpid/,2017.0,50300.0,11853.083,07/07/2015,525000.0,541795.0,01/26/2020,-2100.0,568885.0,514705.0
MLS Listing,Townhouse,1625 N Larrabee St,Chicago,IL,60614,655000,3.0,3.0,Lincoln Park,2200.0,,1989.0,58,298.0,410.0,Active,http://www.redfin.com/IL/Chicago/1625-N-Larrabee-St-60614/home/13346193,MRED,10569451,41.911722,-87.6431801,3.0,15 mins,"WALKING(7 MINS), RED LINE(5 mins), WALKING(4 MINS)",11.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",MARIANO,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3740916.0,http://www.zillow.com/homedetails/1625-N-Larrabee-St-Chicago-IL-60614/3740916_zpid/,2017.0,65926.0,13866.35,09/10/2004,570000.0,618627.0,01/26/2020,-21938.0,649558.0,587696.0
PAST SALE,Condo/Co-op,1765 W ALTGELD St Unit G,Chicago,IL,60614,414900,2.0,2.0,Lincoln Park,1760.0,,1993.0,51,236.0,280.0,Sold,http://www.redfin.com/IL/Chicago/1765-W-Terra-Cotta-Pl-60614/unit-G/home/13358277,MRED,10537974,41.9281733,-87.6723436,5.0,40 mins,"WALKING(5 MINS), BUS9(11 mins), WALKING(1 MIN), BUS66(16 mins), WALKING(2 MINS)",8.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","ALDI, JEWEL",2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3732070.0,http://www.zillow.com/homedetails/1765-W-Altgeld-St-APT-A-Chicago-IL-60614/3732070_zpid/,2017.0,46536.0,8783.433,11/02/2018,635000.0,639008.0,01/26/2020,4967.0,702909.0,581497.0
