SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,COMMUTE_NUM_STEPS,COMMUTE,COMMUTE_STEPS,WALKING_TIME
PAST SALE,Single Family Residential,8309 Kostner Ave,SKOKIE,IL,60076,625000,6.0,5.5,Skokie,4100.0,6764.0,2008.0,153,152.0,,Sold,http://www.redfin.com/IL/Skokie/8309-Kostner-Ave-60076/home/13609473,MRED,10361583,42.032014200000006,-87.73728990000001,4.0,1 hour 9 mins,"WALKING(16 MINS), YELLOW LINE(7 mins), RED LINE(32 mins), WALKING(4 MINS)",20.0
PAST SALE,Single Family Residential,3101 Country Ln,WILMETTE,IL,60091,430000,3.0,2.5,Wilmette,1456.0,8481.0,1959.0,170,295.0,,Sold,http://www.redfin.com/IL/Wilmette/3101-Country-Ln-60091/home/13781256,MRED,10304008,42.081314899999995,-87.7520755,6.0,1 hour 19 mins,"WALKING(4 MINS), BUS422(12 mins), WALKING(1 MIN), PURPLE LINE(12 mins), RED LINE(32 mins), WALKING(4 MINS)",9.0
PAST SALE,Single Family Residential,9001 E Prairie Rd,Evanston,IL,60203,352000,3.0,2.5,Evanston,,3249.0,1964.0,1780,,,Sold,http://www.redfin.com/IL/Evanston/9001-E-Prairie-Rd-60203/home/13626286,MRED,8731970,42.0446715,-87.7170115,6.0,1 hour 16 mins,"WALKING(6 MINS), BUS250(8 mins), WALKING(2 MINS), YELLOW LINE(9 mins), RED LINE(32 mins), WALKING(4 MINS)",12.0
PAST SALE,Single Family Residential,2903 N Wolcott Ave,Chicago,IL,60657,557500,3.0,2.0,North Center,1494.0,2234.0,1996.0,167,373.0,121.0,Sold,http://www.redfin.com/IL/Chicago/2903-N-Wolcott-Ave-60657/unit-B/home/13360101,MRED,10358374,41.9342949,-87.6749297,5.0,39 mins,"WALKING(4 MINS), BUS76(11 mins), WALKING(1 MIN), BUS151(14 mins), WALKING(1 MIN)",6.0
PAST SALE,Townhouse,3244 N Kilbourn Ave #16,CHICAGO,IL,60641,285000,3.0,2.0,Irving Park,1639.0,,2007.0,215,174.0,165.0,Sold,http://www.redfin.com/IL/Chicago/3244-N-Kilbourn-Ave-60641/unit-16/home/12659746,MRED,10354035,41.940224799999996,-87.7407214,5.0,57 mins,"WALKING(4 MINS), BUS77(27 mins), WALKING(2 MINS), BUS151(17 mins), WALKING(1 MIN)",7.0
PAST SALE,Townhouse,6147 Lincoln Ave Unit 1F,MORTON GROVE,IL,60053,315000,3.0,2.5,Morton Grove,2100.0,,1987.0,188,150.0,250.0,Sold,http://www.redfin.com/IL/Morton-Grove/6147-Lincoln-Ave-60053/unit-1F/home/13616644,MRED,10309444,42.0349662,-87.7811371,7.0,1 hour 7 mins,"WALKING(8 MINS), HEAVY_RAILMD-N(15 mins), WALKING(2 MINS), BUS74(20 mins), WALKING(1 MIN), RED LINE(7 mins), WALKING(4 MINS)",15.0
MLS Listing,Single Family Residential,4212 Howard St,Skokie,IL,60076,579900,7.0,3.5,Skokie,4400.0,6198.0,1955.0,73,132.0,,Active,http://www.redfin.com/IL/Skokie/4212-Howard-St-60076/home/13599574,MRED,10554338,42.019245,-87.733824,4.0,1 hour 17 mins,"WALKING(24 MINS), YELLOW LINE(7 mins), RED LINE(32 mins), WALKING(4 MINS)",28.0
PAST SALE,Single Family Residential,6586 N HIAWATHA Ave,Chicago,IL,60646,427500,4.0,2.0,Forest Glen,1719.0,7078.0,1925.0,74,249.0,,Sold,http://www.redfin.com/IL/Chicago/6586-N-Hiawatha-Ave-60646/home/13590274,MRED,10551459,42.0003071,-87.76468659999999,5.0,55 mins,"WALKING(9 MINS), BUS84(26 mins), WALKING(1 MIN), BUS147(14 mins), WALKING(1 MIN)",11.0
PAST SALE,Single Family Residential,7008 N Keating Ave,LINCOLNWOOD,IL,60712,445000,4.0,2.0,Lincolnwood,,7788.0,1952.0,205,,,Sold,http://www.redfin.com/IL/Lincolnwood/7008-N-Keating-Ave-60712/home/13589450,MRED,10164682,42.008455600000005,-87.747134,9.0,1 hour 35 mins,"WALKING(6 MINS), BUS290(11 mins), WALKING(2 MINS), BUS270(13 mins), WALKING(1 MIN), BLUE LINE(20 mins), WALKING(1 MIN), BUS66(12 mins), WALKING(2 MINS)",12.0
PAST SALE,Single Family Residential,9408 Tripp Ave,SKOKIE,IL,60076,367000,3.0,2.0,Skokie,1459.0,7627.0,1957.0,201,252.0,,Sold,http://www.redfin.com/IL/Skokie/9408-Tripp-Ave-60076/home/13625278,MRED,10356291,42.0519803,-87.7338448,5.0,1 hour 10 mins,"WALKING(6 MINS), BUS215(19 mins), WALKING(1 MIN), RED LINE(32 mins), WALKING(4 MINS)",11.0
PAST SALE,Townhouse,511 N PEORIA St,CHICAGO,IL,60642,620000,3.0,2.5,West Town,2400.0,900.0,2004.0,142,258.0,235.0,Sold,http://www.redfin.com/IL/Chicago/511-N-Peoria-St-60642/home/12697686,MRED,10353686,41.8915563,-87.6498223,3.0,22 mins,"WALKING(9 MINS), BUS66(11 mins), WALKING(2 MINS)",11.0
PAST SALE,Townhouse,4640 N PAULINA St Unit C,CHICAGO,IL,60640,355000,3.0,1.5,Uptown,,,1960.0,158,,,Sold,http://www.redfin.com/IL/Chicago/4640-N-Paulina-St-60640/unit-C/home/13391497,MRED,10427690,41.966453,-87.671474,3.0,40 mins,"WALKING(5 MINS), BUS22(27 mins), WALKING(7 MINS)",12.0
PAST SALE,Townhouse,1664 N Bissell St,CHICAGO,IL,60614,500000,2.0,2.0,Lincoln Park,1270.0,800.0,1985.0,192,394.0,,Sold,http://www.redfin.com/IL/Chicago/1664-N-Bissell-St-60614/home/13350077,MRED,10323920,41.9124249,-87.65049090000001,3.0,12 mins,"WALKING(4 MINS), RED LINE(5 mins), WALKING(4 MINS)",8.0
PAST SALE,Townhouse,7748 Lincoln Ave,SKOKIE,IL,60077,350000,3.0,2.5,Skokie,1700.0,,2005.0,152,206.0,200.0,Sold,http://www.redfin.com/IL/Skokie/7748-Lincoln-Ave-60077/home/12605537,MRED,10342268,42.022140500000006,-87.7527869,4.0,1 hour 6 mins,"WALKING(12 MINS), YELLOW LINE(7 mins), RED LINE(32 mins), WALKING(4 MINS)",16.0
PAST SALE,Townhouse,2666 Prairie Ave Unit A,EVANSTON,IL,60201,500000,3.0,2.5,Evanston,1800.0,3400.0,1972.0,174,278.0,83.0,Sold,http://www.redfin.com/IL/Evanston/2666-Prairie-Ave-60201/unit-A/home/13772703,MRED,10337695,42.065901200000006,-87.7021443,4.0,1 hour 11 mins,"WALKING(18 MINS), PURPLE LINE(10 mins), RED LINE(32 mins), WALKING(4 MINS)",22.0
PAST SALE,Single Family Residential,7935 Kildare Ave,SKOKIE,IL,60076,375000,3.0,2.0,Skokie,,6520.0,1964.0,227,,,Sold,http://www.redfin.com/IL/Skokie/7935-N-Kildare-Ave-60076/home/13600307,MRED,10349254,42.0254692,-87.7351719,6.0,1 hour 10 mins,"WALKING(1 MIN), BUS97(2 mins), WALKING(2 MINS), YELLOW LINE(7 mins), RED LINE(32 mins), WALKING(4 MINS)",7.0
PAST SALE,Single Family Residential,230 Locust Rd,WILMETTE,IL,60091,415000,3.0,2.0,Wilmette,1288.0,8398.0,1959.0,194,322.0,,Sold,http://www.redfin.com/IL/Wilmette/230-Locust-Rd-60091/home/13777148,MRED,10274050,42.0681365,-87.7418453,5.0,1 hour 32 mins,"WALKING(21 MINS), BUS215(25 mins), WALKING(1 MIN), RED LINE(32 mins), WALKING(4 MINS)",26.0
MLS Listing,Townhouse,1825 Wilmette Ave Unit C,Wilmette,IL,60091,445000,3.0,3.5,Wilmette,2000.0,,1998.0,116,223.0,225.0,Active,http://www.redfin.com/IL/Wilmette/1825-Wilmette-Ave-60091/unit-C/home/13777667,MRED,10514119,42.071855,-87.7218709,6.0,1 hour 21 mins,"WALKING(17 MINS), HEAVY_RAILUP-N(6 mins), WALKING(2 MINS), PURPLE LINE(6 mins), RED LINE(32 mins), WALKING(4 MINS)",23.0
PAST SALE,Townhouse,605 4th St,WILMETTE,IL,60091,380000,3.0,1.5,Wilmette,1426.0,,1958.0,191,266.0,1.0,Sold,http://www.redfin.com/IL/Wilmette/605-4th-St-60091/home/13772882,MRED,10343568,42.075463,-87.692223,4.0,59 mins,"WALKING(3 MINS), PURPLE LINE(12 mins), RED LINE(32 mins), WALKING(4 MINS)",7.0
PAST SALE,Single Family Residential,3811 Louise St,Skokie,IL,60076,370000,4.0,2.5,Skokie,1500.0,5623.0,1957.0,219,247.0,,Sold,http://www.redfin.com/IL/Skokie/3811-Louise-St-60076/home/13601289,MRED,10142608,42.0251116,-87.7239187,5.0,56 mins,"WALKING(2 MINS), BUS97(11 mins), WALKING(1 MIN), RED LINE(32 mins), WALKING(4 MINS)",7.0
PAST SALE,Townhouse,2733 N Janssen Ave Unit A,CHICAGO,IL,60614,572000,2.0,2.0,Lincoln Park,,,1989.0,219,,251.0,Sold,http://www.redfin.com/IL/Chicago/2733-N-Janssen-Ave-60614/unit-A/home/12554871,MRED,10329962,41.931937,-87.665184,5.0,33 mins,"WALKING(2 MINS), BUS76(7 mins), WALKING(1 MIN), BUS151(14 mins), WALKING(1 MIN)",4.0
MLS Listing,Townhouse,8 Park Ave,River Forest,IL,60305,499000,3.0,3.0,River Forest,2313.0,1000.0,2006.0,27,216.0,124.0,Active,http://www.redfin.com/IL/River-Forest/8-Park-Ave-60305/home/26809923,MRED,10589012,41.8797005,-87.8194435,5.0,1 hour 1 min,"WALKING(11 MINS), BLUE LINE(32 mins), WALKING(1 MIN), BUS22(8 mins), WALKING(6 MINS)",18.0
PAST SALE,Townhouse,4646 N Greenview Ave #11,CHICAGO,IL,60640,503000,2.0,2.0,Uptown,,,2000.0,228,,296.0,Sold,http://www.redfin.com/IL/Chicago/4646-N-Greenview-Ave-60640/unit-11/home/161062033,MRED,10249245,41.966538,-87.66797700000001,3.0,35 mins,"WALKING(13 MINS), RED LINE(19 mins), WALKING(4 MINS)",17.0
PAST SALE,Townhouse,1000 W Barry Ave,CHICAGO,IL,60657,490000,3.0,2.0,Lake View,,,1986.0,192,,350.0,Sold,http://www.redfin.com/IL/Chicago/1000-W-Barry-Ave-60657/home/13364039,MRED,10351556,41.9382315,-87.6542312,3.0,17 mins,"WALKING(4 MINS), RED LINE(10 mins), WALKING(4 MINS)",8.0
PAST SALE,Townhouse,335 GREENLEAF Ave,WILMETTE,IL,60091,345000,3.0,2.5,Wilmette,1684.0,2298.0,1965.0,2231,205.0,129.0,Sold,http://www.redfin.com/IL/Wilmette/335-Greenleaf-Ave-60091/home/13772429,MRED,8445993,42.0749128,-87.69099859999999,4.0,1 hour 0 mins,"WALKING(4 MINS), PURPLE LINE(12 mins), RED LINE(32 mins), WALKING(4 MINS)",8.0
PAST SALE,Single Family Residential,7417 N Talman Ave,CHICAGO,IL,60645,562500,4.0,3.0,West Ridge,2234.0,4199.0,1949.0,219,252.0,,Sold,http://www.redfin.com/IL/Chicago/7417-N-Talman-Ave-60645/home/13602199,MRED,10322864,42.01637879999999,-87.6957963,5.0,55 mins,"WALKING(6 MINS), BUS97(6 mins), WALKING(1 MIN), RED LINE(32 mins), WALKING(4 MINS)",11.0
PAST SALE,Single Family Residential,7641 Kildare Ave,SKOKIE,IL,60076,287000,4.0,2.0,Skokie,1395.0,4917.0,1959.0,177,206.0,,Sold,http://www.redfin.com/IL/Skokie/7641-N-Kildare-Ave-60076/home/13599288,MRED,10333277,42.0202101,-87.73528950000001,4.0,1 hour 14 mins,"WALKING(21 MINS), YELLOW LINE(7 mins), RED LINE(32 mins), WALKING(4 MINS)",25.0
PAST SALE,Single Family Residential,8147 Lowell Ave,SKOKIE,IL,60076,387000,3.0,2.0,Skokie,2600.0,4917.0,1955.0,118,149.0,,Sold,http://www.redfin.com/IL/Skokie/8147-N-Lowell-Ave-60076/home/13609663,MRED,10463700,42.02943629999999,-87.7362496,4.0,1 hour 9 mins,"WALKING(15 MINS), YELLOW LINE(7 mins), RED LINE(32 mins), WALKING(4 MINS)",19.0
PAST SALE,Single Family Residential,2723 Birchwood Ave,WILMETTE,IL,60091,471500,5.0,2.5,Wilmette,2434.0,8398.0,1957.0,233,194.0,,Sold,http://www.redfin.com/IL/Wilmette/2723-Birchwood-Ave-60091/home/13777258,MRED,10064775,42.0764348,-87.743224,6.0,1 hour 18 mins,"WALKING(5 MINS), BUS422(10 mins), WALKING(1 MIN), PURPLE LINE(12 mins), RED LINE(32 mins), WALKING(4 MINS)",10.0
