SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2444 W Irving Park Rd Unit 3E,Chicago,IL,60618,559900,3,2.0,North Center,1850,,2019,3,303,210,Active,,,http://www.redfin.com/IL/Chicago/2444-W-Irving-Park-Rd-60618/unit-3E/home/167054028,MRED,10641912,N,Y,41.9542234,-87.6902867
MLS Listing,,Condo/Co-op,1013 W 16th St Unit 1E,Chicago,IL,60608,400000,3,2.5,Lower West Side,2200,,2006,3,182,208,Active,February-22-2020 10:00 AM,February-22-2020 11:30 PM,http://www.redfin.com/IL/Chicago/1013-W-16th-St-60608/unit-1E/home/18917255,MRED,10641720,N,Y,41.8596684,-87.6516373
MLS Listing,,Condo/Co-op,725 W WAVELAND Ave Unit E,Chicago,IL,60613,529900,3,2.5,Lake View,1880,,1981,3,282,420,Active,,,http://www.redfin.com/IL/Chicago/725-W-Waveland-Ave-60613/unit-E/home/100228003,MRED,10616595,N,Y,41.949296,-87.6474726
MLS Listing,,Condo/Co-op,1516 W GRAND Ave Unit 1W,Chicago,IL,60622,549000,3,3.0,West Town,2200,,2003,3,250,260,Active,,,http://www.redfin.com/IL/Chicago/1516-W-Grand-Ave-60642/unit-1W/home/12674267,MRED,10641582,N,Y,41.891293,-87.666287
MLS Listing,,Single Family Residential,1802 W Diversey Pkwy Unit M,Chicago,IL,60614,649000,3,4.5,North Center,2839,1500,1997,3,229,200,Active,,,http://www.redfin.com/IL/Chicago/1802-W-Diversey-Pkwy-60614/unit-M/home/13358716,MRED,10641497,N,Y,41.934948,-87.673736
MLS Listing,,Condo/Co-op,3823 N Ashland Ave #301,Chicago,IL,60613,599900,3,2.0,Lake View,1800,,2007,3,333,372,Active,,,http://www.redfin.com/IL/Chicago/3823-N-Ashland-Ave-60613/unit-301/home/26808107,MRED,10615604,N,Y,41.9515088,-87.6684948
MLS Listing,,Condo/Co-op,2323 W Roscoe St Unit 2W,Chicago,IL,60618,489900,2,2.0,North Center,1500,,2004,3,327,168,Active,February-23-2020 01:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/2323-W-Roscoe-St-60618/unit-2W/home/12640884,MRED,10641437,N,Y,41.942882,-87.6867366
MLS Listing,,Condo/Co-op,2307 N Greenview Ave #2,Chicago,IL,60614,625000,2,2.0,Lincoln Park,1300,,2017,3,481,160,Active,February-23-2020 01:30 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/2307-N-Greenview-Ave-60614/unit-2/home/105289517,MRED,10641438,N,Y,41.9236519,-87.6654972
MLS Listing,,Condo/Co-op,1520 N Sedgwick St Unit 4A,Chicago,IL,60610,629000,3,2.0,Near North Side,1945,,2004,3,323,416,Active,,,http://www.redfin.com/IL/Chicago/1520-N-Sedgwick-St-60610/unit-4A/home/12657007,MRED,10633357,N,Y,41.9099769,-87.6388973
MLS Listing,,Condo/Co-op,949 W Madison St Unit B409,Chicago,IL,60607,575000,2,2.0,Near West Side,1300,,2000,3,442,471,Active,February-23-2020 01:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/949-W-Madison-St-60607/unit-B409/home/170596660,MRED,10641269,N,Y,41.8814923,-87.6517543
MLS Listing,,Townhouse,2008 W Potomac Ave Unit B,Chicago,IL,60622,629000,3,2.5,West Town,,1173,1995,3,,85,Active,,,http://www.redfin.com/IL/Chicago/2008-W-Potomac-Ave-60622/unit-B/home/14108601,MRED,10633503,N,Y,41.905359,-87.6778501
MLS Listing,,Condo/Co-op,1310 N Cleveland Ave #2,Chicago,IL,60610,650000,3,2.0,Near North Side,1650,,2018,4,394,280,Active,,,http://www.redfin.com/IL/Chicago/1310-N-Cleveland-Ave-60610/unit-2/home/168349633,MRED,10640522,N,Y,41.9060569,-87.641122
